ID,ID,
Unit/SourceInstitutionID,institutionCode,
Unit/SourceInstitutionID,collectionCode,
Unit/UnitID,catalogNumber,
Unit/UnitGUID,occurrenceID
Unit/RecordBasis,basisOfRecord,
Unit/KindOfUnit,preparations,
Unit/DateLastEdited,modified,
Collectors,recordedBy,
AdditionalCollectors,AdditionalCollectors,
Unit/CollectorsFieldNumber,collectorsFieldNumber,
CollectingDate,eventDate,
Unit/Gathering/DateTime/DateText,verbatimEventDate,
Unit/Gathering/Country/Name,country,
Unit/Gathering/Country/ISO3166Code,countryCode,
"Unit/Gathering/NamedAreas/NamedArea[AreaClass=""State""]/AreaName",stateProvince,
Unit/Gathering/LocalityText,locality,
Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace,GeneralisedLocality,
Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlaceRelationTo,NearNamedPlaceRelationship,
Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal,decimalLatitude,
Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal,decimalLongitude,
Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/CoordinatesText,verbatimCoordinates,
Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/SpatialDatum,geodeticDatum,
Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/CoordinateErrorDistanceInMeters,coordinateUncertaintyInMeters,
dwc:georeferencedBy,georeferencedBy,
dwc:georeferencedProtocol,georeferencedProtocol,
dwc:minimumElevationInMeters,minimumAltitudeInMetres,
dwc:maximumElevationInMeters,maximumAltitudeInMetres,
dwc:minimumDepthInMeters,minimumDepthinMetres,
dwc:maximumDepthInMeters,maximumDepthinMetres,
"dwc:habitat",habitat,
"dwc:locationRemarks",locationRemarks,
"dwc:associatedTaxa",associatedTaxa,
Unit/Gathering/Notes,occurrenceRemarks,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/FullScientificNameString",scientificName ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""regnum""]/HigherTaxonName",kingdom ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""phylum""]/HigherTaxonName",phylum ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""classis""]/HigherTaxonName",class ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""ordo""]/HigherTaxonName",order ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/HigherTaxa/HigherTaxon[HigherTaxonRank=""familia""]/HigherTaxonName",family ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/GenusOrMonomial",genus ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/FirstEpithet",specificEpithet ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/Rank",taxonRank ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/InfraspecificEpithet",infraspecificEpithet ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/CultivarName",CultivarName ,
dwc:scientificNameAuthorship[core],scientificNameAuthorship,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/NameComments",nomenclaturalStatus ,
abcd:IdentificationQualifier[core],identificationQualifier,
abcd:InsertionPoint[core],IdentificationQualifierInsertionPoint],
dwc:identificationQualifier[core],DwC IdentificationQualifier,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/NameAddendum",ScientificNameAddendum ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Identifiers/IdentifierRole",DeterminerRole ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Identifiers/IdentifiersText",identifiedBy ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Date/ISODateTimeBegin",dateIdentified ,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Date/DateText",VerbatimIdentificationDate,
"Unit/Identifications/Identification[PreferredFlag=""true""]/Notes",identificationRemarks,
previousIdentifications,previousIdentifications,
Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypeStatus,typeStatus ,
"Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/FullScientificNameString",TypifiedName ,
"Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/DoubtfulFlag",DoubtfulFlag ,
"Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/Verifier/FullName",Verifier ,
"Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/VerificationDate",VerificationDate ,
"Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/VerificationNotes",VerificationNotes ,
dwc:typeStatus,DwC TypeStatus,
Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousSourceInstitutionID,ExHerb,
ExHerbCatalogueNumber,ExHerbCatalogueNumber,
Unit/HerbariumUnit/DuplicatesDistributedTo,DuplicatesDistributedTo,
Unit/HerbariumUnit/LoanDate,LoanDate,
Unit/HerbariumUnit/LoanDestination,LoanDestination,
Unit/HerbariumUnit/LoanForBotanist,LoanForBotanist,
Unit/HerbariumUnit/LoanIdentifier,LoanIdentifier,
Unit/HerbariumUnit/LoanReturnDate,LoanReturnDate,
"Unit/Gathering/NamedAreas/NamedArea[AreaClass=""Australian Herbarium Region""]/AreaName",Australian Herbarium Region,
"Unit/Gathering/NamedAreas/NamedArea[AreaClass=""IBRA region""]/AreaName",IBRARegion,
